cell_label,atoms_in_cell
495949965003,5
495949965004,14
495949975004,9
496049915006,7
496049915007,3
496049925005,4
496049925006,7
496049955005,1
496049965004,7
496049965005,7
496049975004,4
496049975005,1
496049985004,1
496049985005,2
496049995009,1
496050035014,1
496149915005,2
496149915006,44
496149915007,6
496149925004,1
496149925005,20
496149925006,25
496149925007,1
496149935004,1
496149935005,9
496149935006,1
496149945004,1
496149955002,1
496149955004,7
496149955005,7
496149955006,6
496149965005,2
496149965006,8
496149975002,1
496149975003,4
496149975004,1
496149975005,6
496149975006,2
496149985003,1
496149985004,1
496149985005,7
496149985007,6
496149985008,4
496149985009,5
496149985010,1
496149995009,3
496149995010,6
496149995011,4
496150005010,3
496150005011,7
496150035013,14
496150035014,14
496150045012,2
496150045013,11
496150045014,4
496249905006,1
496249915006,8
496249915007,3
496249925002,2
496249925003,5
496249925004,7
496249925005,4
496249925006,3
496249935002,1
496249935003,11
496249935004,9
496249935005,13
496249935006,1
496249945002,1
496249945003,1
496249945004,12
496249945005,7
496249955002,3
496249955003,4
496249955004,17
496249955005,1
496249965001,1
496249965002,5
496249965003,4
496249965004,3
496249965006,4
496249975001,1
496249975002,29
496249975003,14
496249975004,7
496249975006,4
496249975007,1
496249985003,2
496249985007,4
496249995010,2
496250005011,3
496250015010,4
496250015011,10
496250035013,15
496250035014,3
496250045010,1
496250045011,1
496250045012,4
496250045013,8
496250045014,6
496250055014,1
496250055015,3
496250055016,2
496250075014,2
496250075015,3
496349925005,2
496349935002,17
496349935003,21
496349935004,7
496349935005,13
496349935006,3
496349945002,7
496349945003,9
496349945004,7
496349955001,2
496349955002,4
496349955003,23
496349955004,15
496349965001,7
496349965002,21
496349965003,12
496349965004,6
496349965006,1
496349975002,1
496349975003,14
496349975004,1
496350005011,8
496350015009,4
496350015010,6
496350015011,7
496350025009,7
496350025010,3
496350035009,2
496350035012,1
496350045009,2
496350045010,7
496350045011,4
496350045012,10
496350045015,7
496350055010,1
496350055014,1
496350055015,4
496350055016,3
496350065013,1
496350065014,11
496350065015,4
496350065016,4
496350075014,12
496449925005,1
496449935002,4
496449935003,3
496449935004,1
496449945002,3
496449955002,1
496449955003,1
496449955004,3
496449965001,1
496449965002,7
496449965003,2
496449965004,1
496449974999,1
496449975003,16
496449975004,8
496449984999,6
496449985001,1
496449985002,2
496449985003,10
496449985004,10
496449995002,3
496449995003,1
496450015010,2
496450025009,11
496450025010,6
496450035009,7
496450035010,6
496450045009,1
496450045010,2
496450045015,2
496450055014,3
496450055015,5
496450055016,3
496450065014,4
496450065015,5
496450065016,2
496450065017,1
496450075014,1
496450075015,9
496450075016,6
496450085014,1
496450085015,5
496450085016,2
496549955000,3
496549964999,4
496549965000,14
496549965001,1
496549974998,1
496549974999,10
496549975000,6
496549975001,1
496549975003,1
496549975004,2
496549984998,3
496549984999,1
496549985000,4
496549985001,6
496549985002,1
496549985003,3
496549985004,1
496549995001,3
496549995002,6
496549995003,9
496550045015,2
496550055014,7
496550055015,8
496550065014,16
496550065015,14
496550065016,5
496550075015,1
496550075016,3
