time,n_atom,itr,type
953440.0105476379,10,0,force_matrix
886816.0247802734,10,1,force_matrix
781920.0158119202,10,2,force_matrix
754751.980304718,10,3,force_matrix
710655.9872627258,10,4,force_matrix
11023.0,10,0,cpu
3866.0,10,1,cpu
3063.0,10,2,cpu
3082.0,10,3,cpu
3081.0,10,4,cpu
1142815.9475326538,28,0,force_matrix
1074975.9674072266,28,1,force_matrix
614239.9907112122,28,2,force_matrix
625887.9899978638,28,3,force_matrix
526592.0162200928,28,4,force_matrix
18301.0,28,0,cpu
14252.0,28,1,cpu
15517.0,28,2,cpu
14750.0,28,3,cpu
14013.0,28,4,cpu
655391.9911384583,77,0,force_matrix
648383.9750289917,77,1,force_matrix
657248.0201721191,77,2,force_matrix
585888.0281448364,77,3,force_matrix
621472.0010757446,77,4,force_matrix
105782.0,77,0,cpu
95216.0,77,1,cpu
95069.0,77,2,cpu
95003.0,77,3,cpu
94852.0,77,4,cpu
655391.9911384583,215,0,force_matrix
609023.9882469177,215,1,force_matrix
595808.0291748047,215,2,force_matrix
634880.006313324,215,3,force_matrix
614400.0291824341,215,4,force_matrix
930109.0,215,0,cpu
1276876.0,215,1,cpu
1198988.0,215,2,cpu
1004725.0,215,3,cpu
858828.0,215,4,cpu
937215.9838676453,599,0,force_matrix
904063.9996528625,599,1,force_matrix
866015.9707069397,599,2,force_matrix
831936.0017776489,599,3,force_matrix
822848.0219841003,599,4,force_matrix
7064691.0,599,0,cpu
5946706.0,599,1,cpu
5928579.0,599,2,cpu
5609580.0,599,3,cpu
5879097.0,599,4,cpu
4123392.105102539,1668,0,force_matrix
4199647.903442383,1668,1,force_matrix
4005824.089050293,1668,2,force_matrix
4075551.986694336,1668,3,force_matrix
4143871.784210205,1668,4,force_matrix
49714690.0,1668,0,cpu
48128819.0,1668,1,cpu
48292348.0,1668,2,cpu
47871478.0,1668,3,cpu
49258808.0,1668,4,cpu
27390655.517578125,4642,0,force_matrix
27012384.41467285,4642,1,force_matrix
27000095.36743164,4642,2,force_matrix
26975616.455078125,4642,3,force_matrix
27192512.51220703,4642,4,force_matrix
356706415.0,4642,0,cpu
360640369.0,4642,1,cpu
369186029.0,4642,2,cpu
353077484.0,4642,3,cpu
354309086.0,4642,4,cpu
148713470.45898438,12915,0,force_matrix
134383773.80371094,12915,1,force_matrix
77367004.39453125,12915,2,force_matrix
76634941.10107422,12915,3,force_matrix
76470268.24951172,12915,4,force_matrix
2884772540.0,12915,0,cpu
3099611140.0,12915,1,cpu
3347044957.0,12915,2,cpu
2907087551.0,12915,3,cpu
2891656656.0,12915,4,cpu
738651000.9765625,35938,0,force_matrix
587401245.1171875,35938,1,force_matrix
593774658.203125,35938,2,force_matrix
594593505.859375,35938,3,force_matrix
594731994.6289062,35938,4,force_matrix
23569959392.0,35938,0,cpu
24049368494.0,35938,1,cpu
23417563472.0,35938,2,cpu
23702387367.0,35938,3,cpu
23604406662.0,35938,4,cpu
4802930664.0625,100000,0,force_matrix
4861122558.59375,100000,1,force_matrix
5174846191.40625,100000,2,force_matrix
4943254394.53125,100000,3,force_matrix
4695902832.03125,100000,4,force_matrix
183823609934.0,100000,0,cpu
185263687295.0,100000,1,cpu
184210141235.0,100000,2,cpu
182759038372.0,100000,3,cpu
182426083349.0,100000,4,cpu
