time,n_atom,itr,type
2189088.1061553955,10,0,segmented_traversal
1011680.006980896,10,1,segmented_traversal
761695.9810256958,10,2,segmented_traversal
960511.9824409485,10,3,segmented_traversal
935039.9971008301,10,4,segmented_traversal
1077695.9657669067,28,0,segmented_traversal
1297600.0308990479,28,1,segmented_traversal
1093472.0039367676,28,2,segmented_traversal
890944.0040588379,28,3,segmented_traversal
864256.0243606567,28,4,segmented_traversal
1384063.959121704,77,0,segmented_traversal
1759232.0442199707,77,1,segmented_traversal
1791615.9629821777,77,2,segmented_traversal
1798143.982887268,77,3,segmented_traversal
1744415.9984588623,77,4,segmented_traversal
2604192.018508911,215,0,segmented_traversal
2541536.0927581787,215,1,segmented_traversal
2542880.058288574,215,2,segmented_traversal
2525216.1026000977,215,3,segmented_traversal
2510879.9934387207,215,4,segmented_traversal
6203199.863433838,599,0,segmented_traversal
5986207.962036133,599,1,segmented_traversal
5927231.788635254,599,2,segmented_traversal
5949855.804443359,599,3,segmented_traversal
5946496.00982666,599,4,segmented_traversal
15347552.299499512,1668,0,segmented_traversal
15331680.297851562,1668,1,segmented_traversal
15335743.90411377,1668,2,segmented_traversal
15303296.089172363,1668,3,segmented_traversal
15303520.202636719,1668,4,segmented_traversal
58376224.517822266,4642,0,segmented_traversal
58029537.200927734,4642,1,segmented_traversal
44606559.75341797,4642,2,segmented_traversal
24181087.493896484,4642,3,segmented_traversal
24118816.375732422,4642,4,segmented_traversal
129860412.59765625,12915,0,segmented_traversal
117678047.18017578,12915,1,segmented_traversal
115964355.46875,12915,2,segmented_traversal
115960258.48388672,12915,3,segmented_traversal
115978240.96679688,12915,4,segmented_traversal
322182586.6699219,35938,0,segmented_traversal
321539520.2636719,35938,1,segmented_traversal
321969238.28125,35938,2,segmented_traversal
321884155.2734375,35938,3,segmented_traversal
321978118.8964844,35938,4,segmented_traversal
895901306.1523438,100000,0,segmented_traversal
894645263.671875,100000,1,segmented_traversal
894442993.1640625,100000,2,segmented_traversal
894605285.6445312,100000,3,segmented_traversal
895359619.140625,100000,4,segmented_traversal
