time,n_atom,itr,type
25541452.0,1000,1,cpu
25540076.0,1000,2,cpu
25535153.0,1000,3,cpu
25538229.0,1000,4,cpu
2698048.1147766113,1000,1,segmented_traversal
2698143.95904541,1000,2,segmented_traversal
2695904.016494751,1000,3,segmented_traversal
2707456.111907959,1000,4,segmented_traversal
558080.0175666809,1000,1,implicit_force_matrix
567296.028137207,1000,2,implicit_force_matrix
554112.0171546936,1000,3,implicit_force_matrix
578592.0023918152,1000,4,implicit_force_matrix
697120.0108528137,1000,1,explicit_force_matrix
693247.9739189148,1000,2,explicit_force_matrix
697344.0051078796,1000,3,explicit_force_matrix
717248.0225563049,1000,4,explicit_force_matrix
102365283.0,2000,1,cpu
106698878.0,2000,2,cpu
103063013.0,2000,3,cpu
103374088.0,2000,4,cpu
5367680.072784424,2000,1,segmented_traversal
5452703.952789307,2000,2,segmented_traversal
5524479.866027832,2000,3,segmented_traversal
5441535.949707031,2000,4,segmented_traversal
1487519.9794769287,2000,1,implicit_force_matrix
1496063.9476776123,2000,2,implicit_force_matrix
1507295.9661483765,2000,3,implicit_force_matrix
1519199.9673843384,2000,4,implicit_force_matrix
2019328.1173706055,2000,1,explicit_force_matrix
2046976.089477539,2000,2,explicit_force_matrix
2059263.9446258545,2000,3,explicit_force_matrix
2057408.094406128,2000,4,explicit_force_matrix
232184680.0,3000,1,cpu
233316678.0,3000,2,cpu
231322971.0,3000,3,cpu
230619093.0,3000,4,cpu
8046591.758728027,3000,1,segmented_traversal
8004832.2677612305,3000,2,segmented_traversal
8007679.9392700195,3000,3,segmented_traversal
7926784.038543701,3000,4,segmented_traversal
2982912.063598633,3000,1,implicit_force_matrix
2939903.974533081,3000,2,implicit_force_matrix
2959039.9265289307,3000,3,implicit_force_matrix
2957695.960998535,3000,4,implicit_force_matrix
4563615.798950195,3000,1,explicit_force_matrix
4568064.212799072,3000,2,explicit_force_matrix
4553472.04208374,3000,3,explicit_force_matrix
4538144.111633301,3000,4,explicit_force_matrix
422510656.0,4000,1,cpu
409849756.0,4000,2,cpu
414653707.0,4000,3,cpu
410519498.0,4000,4,cpu
11956224.44152832,4000,1,segmented_traversal
11809791.564941406,4000,2,segmented_traversal
11963104.248046875,4000,3,segmented_traversal
11812640.190124512,4000,4,segmented_traversal
4936704.158782959,4000,1,implicit_force_matrix
4918335.914611816,4000,2,implicit_force_matrix
