time,n_atom,itr,type
1787423.9683151245,10,0,force_matrix_explicit
1641216.0396575928,10,1,force_matrix_explicit
1452128.0527114868,10,2,force_matrix_explicit
1439808.0110549927,10,3,force_matrix_explicit
1461856.0075759888,10,4,force_matrix_explicit
1134207.9639434814,28,0,force_matrix_explicit
669727.9810905457,28,1,force_matrix_explicit
577184.0214729309,28,2,force_matrix_explicit
657216.0124778748,28,3,force_matrix_explicit
604192.0185089111,28,4,force_matrix_explicit
753759.9802017212,77,0,force_matrix_explicit
606239.9744987488,77,1,force_matrix_explicit
559072.0176696777,77,2,force_matrix_explicit
688799.9773025513,77,3,force_matrix_explicit
581951.9758224487,77,4,force_matrix_explicit
683520.0190544128,215,0,force_matrix_explicit
740639.9846076965,215,1,force_matrix_explicit
569343.9841270447,215,2,force_matrix_explicit
606208.0264091492,215,3,force_matrix_explicit
613951.9810676575,215,4,force_matrix_explicit
1085471.9877243042,599,0,force_matrix_explicit
1057119.9655532837,599,1,force_matrix_explicit
1027807.9509735107,599,2,force_matrix_explicit
1011136.0549926758,599,3,force_matrix_explicit
1007519.9604034424,599,4,force_matrix_explicit
4732927.7992248535,1668,0,force_matrix_explicit
4820960.04486084,1668,1,force_matrix_explicit
4859903.812408447,1668,2,force_matrix_explicit
4969439.98336792,1668,3,force_matrix_explicit
4907423.973083496,1668,4,force_matrix_explicit
34322334.28955078,4642,0,force_matrix_explicit
34584575.65307617,4642,1,force_matrix_explicit
34580192.56591797,4642,2,force_matrix_explicit
34560001.373291016,4642,3,force_matrix_explicit
34650558.47167969,4642,4,force_matrix_explicit
259668426.51367188,12915,0,force_matrix_explicit
248350524.90234375,12915,1,force_matrix_explicit
251492324.82910156,12915,2,force_matrix_explicit
248416259.765625,12915,3,force_matrix_explicit
250013977.05078125,12915,4,force_matrix_explicit
