time,n_atom,itr,type
11164945.0,1000,1,cpu
10804681.0,1000,2,cpu
10767661.0,1000,3,cpu
10641690.0,1000,4,cpu
10263560.0,1000,5,cpu
9935357.0,1000,6,cpu
10030538.0,1000,7,cpu
11237488.0,1000,8,cpu
10894071.0,1000,9,cpu
4403200.149536133,1000,1,unsorted_cutoff
3422399.9977111816,1000,2,unsorted_cutoff
3135488.0332946777,1000,3,unsorted_cutoff
3844127.893447876,1000,4,unsorted_cutoff
3047231.912612915,1000,5,unsorted_cutoff
2929984.0927124023,1000,6,unsorted_cutoff
7480319.976806641,1000,7,unsorted_cutoff
5227519.989013672,1000,8,unsorted_cutoff
3195904.016494751,1000,9,unsorted_cutoff
4573184.013366699,1000,1,sorted_cutoff
4877600.193023682,1000,2,sorted_cutoff
4549632.0724487305,1000,3,sorted_cutoff
4618368.148803711,1000,4,sorted_cutoff
4442111.968994141,1000,5,sorted_cutoff
4473855.972290039,1000,6,sorted_cutoff
4417503.833770752,1000,7,sorted_cutoff
4453343.868255615,1000,8,sorted_cutoff
4747839.92767334,1000,9,sorted_cutoff
36607461.0,2000,1,cpu
38046134.0,2000,2,cpu
37506187.0,2000,3,cpu
36815162.0,2000,4,cpu
37109714.0,2000,5,cpu
37715916.0,2000,6,cpu
36625368.0,2000,7,cpu
36616409.0,2000,8,cpu
36906591.0,2000,9,cpu
2443615.9133911133,2000,1,unsorted_cutoff
2503679.9907684326,2000,2,unsorted_cutoff
2309119.939804077,2000,3,unsorted_cutoff
2203455.924987793,2000,4,unsorted_cutoff
2246848.1063842773,2000,5,unsorted_cutoff
2168800.115585327,2000,6,unsorted_cutoff
2171936.03515625,2000,7,unsorted_cutoff
2908159.9712371826,2000,8,unsorted_cutoff
3426367.998123169,2000,9,unsorted_cutoff
2410495.9964752197,2000,1,sorted_cutoff
2484224.0810394287,2000,2,sorted_cutoff
2287616.014480591,2000,3,sorted_cutoff
2219007.968902588,2000,4,sorted_cutoff
2203648.090362549,2000,5,sorted_cutoff
2165663.957595825,2000,6,sorted_cutoff
2156543.970108032,2000,7,sorted_cutoff
3421184.0629577637,2000,8,sorted_cutoff
2981888.0558013916,2000,9,sorted_cutoff
81916266.0,3000,1,cpu
82232146.0,3000,2,cpu
82356912.0,3000,3,cpu
82571764.0,3000,4,cpu
81582369.0,3000,5,cpu
81781594.0,3000,6,cpu
81560051.0,3000,7,cpu
81837259.0,3000,8,cpu
81652520.0,3000,9,cpu
2490335.9413146973,3000,1,unsorted_cutoff
2987008.0947875977,3000,2,unsorted_cutoff
2642944.097518921,3000,3,unsorted_cutoff
4162559.986114502,3000,4,unsorted_cutoff
2432096.004486084,3000,5,unsorted_cutoff
2783231.9736480713,3000,6,unsorted_cutoff
2419424.057006836,3000,7,unsorted_cutoff
2949120.044708252,3000,8,unsorted_cutoff
2433023.9295959473,3000,9,unsorted_cutoff
2189152.0023345947,3000,1,sorted_cutoff
2863104.1049957275,3000,2,sorted_cutoff
2506592.035293579,3000,3,sorted_cutoff
2418591.9761657715,3000,4,sorted_cutoff
2413568.0198669434,3000,5,sorted_cutoff
2675712.1086120605,3000,6,sorted_cutoff
5155583.85848999,3000,7,sorted_cutoff
2716671.943664551,3000,8,sorted_cutoff
2446624.0406036377,3000,9,sorted_cutoff
144503768.0,4000,1,cpu
144603908.0,4000,2,cpu
145304581.0,4000,3,cpu
144744773.0,4000,4,cpu
144533496.0,4000,5,cpu
144527093.0,4000,6,cpu
144613685.0,4000,7,cpu
144562203.0,4000,8,cpu
145019923.0,4000,9,cpu
2814912.0807647705,4000,1,unsorted_cutoff
2673599.9584198,4000,2,unsorted_cutoff
4227136.135101318,4000,3,unsorted_cutoff
2685951.9481658936,4000,4,unsorted_cutoff
2680959.939956665,4000,5,unsorted_cutoff
2660351.9916534424,4000,6,unsorted_cutoff
2498559.9517822266,4000,7,unsorted_cutoff
2922336.1015319824,4000,8,unsorted_cutoff
2702336.072921753,4000,9,unsorted_cutoff
2677759.885787964,4000,1,sorted_cutoff
3108864.0689849854,4000,2,sorted_cutoff
2412703.9909362793,4000,3,sorted_cutoff
2704351.9020080566,4000,4,sorted_cutoff
2652384.042739868,4000,5,sorted_cutoff
2659104.108810425,4000,6,sorted_cutoff
2453504.0855407715,4000,7,sorted_cutoff
2665375.9479522705,4000,8,sorted_cutoff
2966687.9177093506,4000,9,sorted_cutoff
226457912.0,5000,1,cpu
230530047.0,5000,2,cpu
225288352.0,5000,3,cpu
225522936.0,5000,4,cpu
232842512.0,5000,5,cpu
225385887.0,5000,6,cpu
225719431.0,5000,7,cpu
225473386.0,5000,8,cpu
224639123.0,5000,9,cpu
2346240.0436401367,5000,1,unsorted_cutoff
4486815.929412842,5000,2,unsorted_cutoff
4040671.8254089355,5000,3,unsorted_cutoff
3622911.9300842285,5000,4,unsorted_cutoff
3780607.9387664795,5000,5,unsorted_cutoff
2762847.900390625,5000,6,unsorted_cutoff
4577184.200286865,5000,7,unsorted_cutoff
3028255.9394836426,5000,8,unsorted_cutoff
4141056.0607910156,5000,9,unsorted_cutoff
2215935.9455108643,5000,1,sorted_cutoff
2796351.909637451,5000,2,sorted_cutoff
2481087.9230499268,5000,3,sorted_cutoff
3691711.902618408,5000,4,sorted_cutoff
3508224.0104675293,5000,5,sorted_cutoff
2683648.109436035,5000,6,sorted_cutoff
2592895.984649658,5000,7,sorted_cutoff
2487391.948699951,5000,8,sorted_cutoff
2520447.9694366455,5000,9,sorted_cutoff
322952084.0,6000,1,cpu
322747982.0,6000,2,cpu
322566317.0,6000,3,cpu
323170325.0,6000,4,cpu
322519857.0,6000,5,cpu
322615029.0,6000,6,cpu
323015939.0,6000,7,cpu
322549004.0,6000,8,cpu
322532478.0,6000,9,cpu
2881727.933883667,6000,1,unsorted_cutoff
2703327.8942108154,6000,2,unsorted_cutoff
2690047.9793548584,6000,3,unsorted_cutoff
2801664.113998413,6000,4,unsorted_cutoff
2718559.980392456,6000,5,unsorted_cutoff
2770944.118499756,6000,6,unsorted_cutoff
2770143.985748291,6000,7,unsorted_cutoff
2713567.9721832275,6000,8,unsorted_cutoff
2725759.983062744,6000,9,unsorted_cutoff
3113984.1079711914,6000,1,sorted_cutoff
2701344.0132141113,6000,2,sorted_cutoff
2717664.0033721924,6000,3,sorted_cutoff
2657279.9682617188,6000,4,sorted_cutoff
2700256.109237671,6000,5,sorted_cutoff
2684639.9307250977,6000,6,sorted_cutoff
2686944.007873535,6000,7,sorted_cutoff
2725888.0138397217,6000,8,sorted_cutoff
2774015.9034729004,6000,9,sorted_cutoff
443966532.0,7000,1,cpu
444394895.0,7000,2,cpu
441291682.0,7000,3,cpu
439327583.0,7000,4,cpu
442520529.0,7000,5,cpu
440428051.0,7000,6,cpu
439821460.0,7000,7,cpu
440921327.0,7000,8,cpu
440128225.0,7000,9,cpu
7033855.91506958,7000,1,unsorted_cutoff
3865600.109100342,7000,2,unsorted_cutoff
4171775.8178710938,7000,3,unsorted_cutoff
4777215.957641602,7000,4,unsorted_cutoff
2684927.9403686523,7000,5,unsorted_cutoff
2288640.022277832,7000,6,unsorted_cutoff
2243904.1137695312,7000,7,unsorted_cutoff
2233056.06842041,7000,8,unsorted_cutoff
2219007.968902588,7000,9,unsorted_cutoff
3237119.9131011963,7000,1,sorted_cutoff
2590719.9382781982,7000,2,sorted_cutoff
2566143.9895629883,7000,3,sorted_cutoff
2544640.064239502,7000,4,sorted_cutoff
2331871.98638916,7000,5,sorted_cutoff
2255808.115005493,7000,6,sorted_cutoff
2223040.1039123535,7000,7,sorted_cutoff
2211839.9143218994,7000,8,sorted_cutoff
2232448.101043701,7000,9,sorted_cutoff
578983464.0,8000,1,cpu
583552377.0,8000,2,cpu
573233517.0,8000,3,cpu
577819917.0,8000,4,cpu
574126462.0,8000,5,cpu
574684091.0,8000,6,cpu
572432327.0,8000,7,cpu
572442771.0,8000,8,cpu
572389550.0,8000,9,cpu
2343967.914581299,8000,1,unsorted_cutoff
2656255.9604644775,8000,2,unsorted_cutoff
2295007.9441070557,8000,3,unsorted_cutoff
4237215.995788574,8000,4,unsorted_cutoff
2968287.944793701,8000,5,unsorted_cutoff
3367871.9997406006,8000,6,unsorted_cutoff
2841376.0662078857,8000,7,unsorted_cutoff
2777087.926864624,8000,8,unsorted_cutoff
2748640.0604248047,8000,9,unsorted_cutoff
2195359.945297241,8000,1,sorted_cutoff
2230272.054672241,8000,2,sorted_cutoff
2199232.1014404297,8000,3,sorted_cutoff
2606303.930282593,8000,4,sorted_cutoff
2778111.9346618652,8000,5,sorted_cutoff
2747391.939163208,8000,6,sorted_cutoff
2704319.953918457,8000,7,sorted_cutoff
2747296.094894409,8000,8,sorted_cutoff
2492799.997329712,8000,9,sorted_cutoff
729758066.0,9000,1,cpu
734881159.0,9000,2,cpu
725787574.0,9000,3,cpu
726132457.0,9000,4,cpu
726974873.0,9000,5,cpu
727962605.0,9000,6,cpu
730021056.0,9000,7,cpu
735796470.0,9000,8,cpu
729800794.0,9000,9,cpu
5280767.917633057,9000,1,unsorted_cutoff
3001375.913619995,9000,2,unsorted_cutoff
2263103.96194458,9000,3,unsorted_cutoff
2268127.918243408,9000,4,unsorted_cutoff
2257087.9459381104,9000,5,unsorted_cutoff
2302975.89302063,9000,6,unsorted_cutoff
2334847.927093506,9000,7,unsorted_cutoff
2402303.93409729,9000,8,unsorted_cutoff
2239583.969116211,9000,9,unsorted_cutoff
2468895.91217041,9000,1,sorted_cutoff
2275327.9209136963,9000,2,sorted_cutoff
2216864.1090393066,9000,3,sorted_cutoff
2245759.963989258,9000,4,sorted_cutoff
2317312.002182007,9000,5,sorted_cutoff
2247551.918029785,9000,6,sorted_cutoff
2235615.9687042236,9000,7,sorted_cutoff
2227200.0312805176,9000,8,sorted_cutoff
2252448.081970215,9000,9,sorted_cutoff
897136301.0,10000,1,cpu
897453359.0,10000,2,cpu
896732728.0,10000,3,cpu
907145600.0,10000,4,cpu
898246808.0,10000,5,cpu
897898136.0,10000,6,cpu
913184377.0,10000,7,cpu
896047889.0,10000,8,cpu
897821233.0,10000,9,cpu
2351871.967315674,10000,1,unsorted_cutoff
2335743.9041137695,10000,2,unsorted_cutoff
2358272.075653076,10000,3,unsorted_cutoff
2542592.0486450195,10000,4,unsorted_cutoff
2264159.917831421,10000,5,unsorted_cutoff
2580480.0987243652,10000,6,unsorted_cutoff
3136512.041091919,10000,7,unsorted_cutoff
2274399.995803833,10000,8,unsorted_cutoff
2299711.9426727295,10000,9,unsorted_cutoff
2210623.9795684814,10000,1,sorted_cutoff
2243583.917617798,10000,2,sorted_cutoff
2210815.906524658,10000,3,sorted_cutoff
2234080.0762176514,10000,4,sorted_cutoff
2220767.9748535156,10000,5,sorted_cutoff
2217119.9321746826,10000,6,sorted_cutoff
2230272.054672241,10000,7,sorted_cutoff
2229568.0046081543,10000,8,sorted_cutoff
2238431.930541992,10000,9,sorted_cutoff
